idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs	meaning encoded	example encoded
made of money	["If you are made of money, you have lots of money.",""]	["When I was in poor countries, everyone thought I was made of money because I could afford to take time off work and travel so far to their country.","That guy Howard acts as if he's made of money, but I know for a fact that he's actually quite poor."]				m,money	made of money	["If%20you%20are%20made%20of%20money%2C%20you%20have%20lots%20of%20money.",""]	["When%20I%20was%20in%20poor%20countries%2C%20everyone%20thought%20I%20was%20made%20of%20money%20because%20I%20could%20afford%20to%20take%20time%20off%20work%20and%20travel%20so%20far%20to%20their%20country.","That%20guy%20Howard%20acts%20as%20if%20he%27s%20made%20of%20money%2C%20but%20I%20know%20for%20a%20fact%20that%20he%27s%20actually%20quite%20poor."]
Magic mushroom	["A type of mushroom with hallucinogenic properties - sometimes known as 'shrooms'."]	["Henry's turned into a real dope head - stoned every night. If it's not the wacky backy it's the magic mushrooms."]	USA, 1950s, although the plants themselves have been used for centuries.	Worldwide.	https://www.phrases.org.uk/idioms/audio/magic-mushroom.mp3	nature,america	magic mushroom	["A%20type%20of%20mushroom%20with%20hallucinogenic%20properties%20-%20sometimes%20known%20as%20%27shrooms%27."]	["Henry%27s%20turned%20into%20a%20real%20dope%20head%20-%20stoned%20every%20night.%20If%20it%27s%20not%20the%20wacky%20backy%20it%27s%20the%20magic%20mushrooms."]
make a killing	["If you make a killing, you make a lot of money from a sale or a deal of some sort.",""]	["My aunt made a killing when she bought some shares in a company as soon as they were issued, and sold them a few weeks later for three times what she paid.","Lots of people made a killing when property values went so high back in the nineties."]				death,m,money	make a killing	["If%20you%20make%20a%20killing%2C%20you%20make%20a%20lot%20of%20money%20from%20a%20sale%20or%20a%20deal%20of%20some%20sort.",""]	["My%20aunt%20made%20a%20killing%20when%20she%20bought%20some%20shares%20in%20a%20company%20as%20soon%20as%20they%20were%20issued%2C%20and%20sold%20them%20a%20few%20weeks%20later%20for%20three%20times%20what%20she%20paid.","Lots%20of%20people%20made%20a%20killing%20when%20property%20values%20went%20so%20high%20back%20in%20the%20nineties."]
make a mountain out of a molehill	["If you make a mountain out of a molehill, you make a small problem seem to be a much bigger problem.",""]	["You've just got a cold so stop making a mountain out of a molehill. You're not going to die from it!","Come on, you only lost $10. It's not that much, so I think you might be making a mountain out of a molehill."]				m,nature	make a mountain out of a molehill	["If%20you%20make%20a%20mountain%20out%20of%20a%20molehill%2C%20you%20make%20a%20small%20problem%20seem%20to%20be%20a%20much%20bigger%20problem.",""]	["You%27ve%20just%20got%20a%20cold%20so%20stop%20making%20a%20mountain%20out%20of%20a%20molehill.%20You%27re%20not%20going%20to%20die%20from%20it%21","Come%20on%2C%20you%20only%20lost%20%2410.%20It%27s%20not%20that%20much%2C%20so%20I%20think%20you%20might%20be%20making%20a%20mountain%20out%20of%20a%20molehill."]
Make a scene	["Cause a disturbance."]	["I know your ex-wife is here with her lover but don't make a scene, that will just make you feel worse."]	Britain, early 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/make-a-scene.mp3	conflict	make a scene	["Cause%20a%20disturbance."]	["I%20know%20your%20ex-wife%20is%20here%20with%20her%20lover%20but%20don%27t%20make%20a%20scene%2C%20that%20will%20just%20make%20you%20feel%20worse."]
make a song and dance about something	["If you make a song and dance about something, you make a big deal out of, or a fuss over, something that isn't very important.",""]	["Why are people making such a song and dance about the fact that the health minister used to smoke cigarettes? You'd think he'd worshipped the devil from the way they're carrying on about it!","Carol thinks people should be angry about the injustices in the world, but instead they make a song and dance about things like the high price of bananas."]				british,m,music	make a song and dance about something	["If%20you%20make%20a%20song%20and%20dance%20about%20something%2C%20you%20make%20a%20big%20deal%20out%20of%2C%20or%20a%20fuss%20over%2C%20something%20that%20isn%27t%20very%20important.",""]	["Why%20are%20people%20making%20such%20a%20song%20and%20dance%20about%20the%20fact%20that%20the%20health%20minister%20used%20to%20smoke%20cigarettes%3F%20You%27d%20think%20he%27d%20worshipped%20the%20devil%20from%20the%20way%20they%27re%20carrying%20on%20about%20it%21","Carol%20thinks%20people%20should%20be%20angry%20about%20the%20injustices%20in%20the%20world%2C%20but%20instead%20they%20make%20a%20song%20and%20dance%20about%20things%20like%20the%20high%20price%20of%20bananas."]
make ends meet	["If you make ends meet, you earn just enough to pay for a place to live and your daily expenses.",""]	["My wife and I both have to work full-time just to make ends meet these days.","Does the government really think elderly people can make ends meet on their pensions?"]				m,money	make ends meet	["If%20you%20make%20ends%20meet%2C%20you%20earn%20just%20enough%20to%20pay%20for%20a%20place%20to%20live%20and%20your%20daily%20expenses.",""]	["My%20wife%20and%20I%20both%20have%20to%20work%20full-time%20just%20to%20make%20ends%20meet%20these%20days.","Does%20the%20government%20really%20think%20elderly%20people%20can%20make%20ends%20meet%20on%20their%20pensions%3F"]
make hay while the sun shines	["If you make hay while the sun shines, you make good use of the chance to do something while it lasts.",""]	["We've got a few days off work so lets make hay while the sun shines and do some landscaping around the back of the house.","Jim works too much, but he reckons he's just making hay while the sun shines. He says he'll slow down once he's made his fortune."]				m,nature,plants,weather	make hay while the sun shines	["If%20you%20make%20hay%20while%20the%20sun%20shines%2C%20you%20make%20good%20use%20of%20the%20chance%20to%20do%20something%20while%20it%20lasts.",""]	["We%27ve%20got%20a%20few%20days%20off%20work%20so%20lets%20make%20hay%20while%20the%20sun%20shines%20and%20do%20some%20landscaping%20around%20the%20back%20of%20the%20house.","Jim%20works%20too%20much%2C%20but%20he%20reckons%20he%27s%20just%20making%20hay%20while%20the%20sun%20shines.%20He%20says%20he%27ll%20slow%20down%20once%20he%27s%20made%20his%20fortune."]
Make no bones about	["To state a fact so there are no doubts about it."]	["I'll make no bones about it - Pol Pot was a murdering dictator."]	Britain, late 19th century.	Worldwide, but somewhat old-fashioned.	https://www.phrases.org.uk/idioms/audio/make-no-bones-about.mp3	honesty	make no bones about	["To%20state%20a%20fact%20so%20there%20are%20no%20doubts%20about%20it."]	["I%27ll%20make%20no%20bones%20about%20it%20-%20Pol%20Pot%20was%20a%20murdering%20dictator."]
make the most of	["If you make the most of something, you get as much as possible from it.",""]	["The warm weather won't last long, so we should make the most of it while we can.","After I retire from work I'll make the most of all the free time and do all the things I've never had time for."]				m	make the most of	["If%20you%20make%20the%20most%20of%20something%2C%20you%20get%20as%20much%20as%20possible%20from%20it.",""]	["The%20warm%20weather%20won%27t%20last%20long%2C%20so%20we%20should%20make%20the%20most%20of%20it%20while%20we%20can.","After%20I%20retire%20from%20work%20I%27ll%20make%20the%20most%20of%20all%20the%20free%20time%20and%20do%20all%20the%20things%20I%27ve%20never%20had%20time%20for."]
make up your mind	["If you make up your mind, you make a decision.",""]	["I have to decide which job I want, the one in London or the one in Paris, but I can't make up my mind.","We're thinking of going to Asia, but we're going to do some more research before making up our minds."]				m	make up your mind	["If%20you%20make%20up%20your%20mind%2C%20you%20make%20a%20decision.",""]	["I%20have%20to%20decide%20which%20job%20I%20want%2C%20the%20one%20in%20London%20or%20the%20one%20in%20Paris%2C%20but%20I%20can%27t%20make%20up%20my%20mind.","We%27re%20thinking%20of%20going%20to%20Asia%2C%20but%20we%27re%20going%20to%20do%20some%20more%20research%20before%20making%20up%20our%20minds."]
make yourself at home	["If you make yourself at home, you relax and feel comfortable in someone else's home.",""]	["When we arrived at my apartment, I showed my guests the sofa and said, \"Make yourself at home.\"","Bill certainly knows how to make himself at home. Within five minutes of arriving he'd turned on my TV and helped himself to a beer from my fridge."]				buildings,m	make yourself at home	["If%20you%20make%20yourself%20at%20home%2C%20you%20relax%20and%20feel%20comfortable%20in%20someone%20else%27s%20home.",""]	["When%20we%20arrived%20at%20my%20apartment%2C%20I%20showed%20my%20guests%20the%20sofa%20and%20said%2C%20%5C%22Make%20yourself%20at%20home.%5C%22","Bill%20certainly%20knows%20how%20to%20make%20himself%20at%20home.%20Within%20five%20minutes%20of%20arriving%20he%27d%20turned%20on%20my%20TV%20and%20helped%20himself%20to%20a%20beer%20from%20my%20fridge."]
Man cave	["A shed or some other retreat that men decorate in the way they choose (with or without their male friends) and use to relax in traditional male pursuits."]	["After I retired Sheila was getting so fed up with me being around the house that she made me turn the outhouse into a man cave. Now the guys come round each afternoon to play cards and watch tv and I've made a sculpture out of beer cans."]	USA, late 20th century.	Worldwide. A fairly recent coinage but spreading rapidly around the world.	https://www.phrases.org.uk/idioms/audio/man-cave.mp3	relaxation,building,america	man cave	["A%20shed%20or%20some%20other%20retreat%20that%20men%20decorate%20in%20the%20way%20they%20choose%20%28with%20or%20without%20their%20male%20friends%29%20and%20use%20to%20relax%20in%20traditional%20male%20pursuits."]	["After%20I%20retired%20Sheila%20was%20getting%20so%20fed%20up%20with%20me%20being%20around%20the%20house%20that%20she%20made%20me%20turn%20the%20outhouse%20into%20a%20man%20cave.%20Now%20the%20guys%20come%20round%20each%20afternoon%20to%20play%20cards%20and%20watch%20tv%20and%20I%27ve%20made%20a%20sculpture%20out%20of%20beer%20cans."]
Many happy returns	["A toast given to someone on their birthday."]	["The old fella is "," today - many happy returns Grandad."]	Britain, 18th century.	Worldwide. This idiom has to have a claim for being spoken by more people more frequently than any other in the language.	https://www.phrases.org.uk/idioms/audio/many-happy-returns.mp3	date,happiness	many happy returns	["A%20toast%20given%20to%20someone%20on%20their%20birthday."]	["The%20old%20fella%20is%20","%20today%20-%20many%20happy%20returns%20Grandad."]
Mates rates	["A discount price offered to friends."]	["I can't really afford to get the roof fixed but my pal Jim is a builder, maybe hell give me mates rates."]	Australian origin, 20th century.	Worldwide, but most common down under.	https://www.phrases.org.uk/idioms/audio/mates-rates.mp3	business,money,australian_origin	mates rates	["A%20discount%20price%20offered%20to%20friends."]	["I%20can%27t%20really%20afford%20to%20get%20the%20roof%20fixed%20but%20my%20pal%20Jim%20is%20a%20builder%2C%20maybe%20hell%20give%20me%20mates%20rates."]
Mea culpa	["I'm to blame."]	["The white washing came out pink again. Sorry, mea culpa, my red socks got mixed in with the sheets."]	Latin. a literal translation is 'I am culpable'.	Worldwide.	https://www.phrases.org.uk/idioms/audio/mea-culpa.mp3	honesty,latin	mea culpa	["I%27m%20to%20blame."]	["The%20white%20washing%20came%20out%20pink%20again.%20Sorry%2C%20mea%20culpa%2C%20my%20red%20socks%20got%20mixed%20in%20with%20the%20sheets."]
meet someone halfway	["If you meet someone halfway, you compromise with them and agree to some of their demands, but not all of them, in order to come to an agreement.",""]	["We decided to meet them halfway and give them a 15% discount, but we wouldn't give them the full discount they wanted.","If you want this relationship to continue, you have to meet me halfway and not expect everything to be on your terms only."]				m	meet someone halfway	["If%20you%20meet%20someone%20halfway%2C%20you%20compromise%20with%20them%20and%20agree%20to%20some%20of%20their%20demands%2C%20but%20not%20all%20of%20them%2C%20in%20order%20to%20come%20to%20an%20agreement.",""]	["We%20decided%20to%20meet%20them%20halfway%20and%20give%20them%20a%2015%25%20discount%2C%20but%20we%20wouldn%27t%20give%20them%20the%20full%20discount%20they%20wanted.","If%20you%20want%20this%20relationship%20to%20continue%2C%20you%20have%20to%20meet%20me%20halfway%20and%20not%20expect%20everything%20to%20be%20on%20your%20terms%20only."]
